ms_since_start,bytes
55.874,8192
55.884,8192
55.888,4058
59.120,8192
59.123,8192
59.128,8192
59.130,8192
59.133,3829
66.452,8192
66.460,8192
66.463,8192
66.465,2923
66.629,8192
66.631,8192
66.633,8192
66.634,8192
66.637,3544
68.839,8192
68.852,8192
68.872,8192
68.874,8192
68.875,5238
69.472,5390
