ms_since_start,bytes
2.157,8192
2.160,8192
2.164,1947
4.785,8192
4.792,8192
4.797,8192
4.799,8192
4.811,3712
7.500,8192
7.505,8192
7.508,8192
7.510,8192
7.516,4389
9.940,8192
9.944,8192
9.946,1379
12.401,8192
12.414,8192
12.417,8192
12.419,8192
12.422,4026
15.311,8192
15.315,8192
15.318,8192
15.320,8192
15.323,5264
17.623,8192
17.626,8192
17.629,8192
17.632,8192
17.635,2202
19.687,8192
19.690,8192
19.693,1154
22.662,8192
22.667,8192
22.670,8192
22.672,8192
22.675,8192
22.677,506
24.859,8192
24.863,8192
24.866,8192
24.868,2103
27.215,8192
27.219,8192
27.222,8192
27.223,8192
27.226,1923
29.591,8192
29.595,8192
29.598,3117
32.272,8192
32.276,8192
32.278,8192
32.280,8192
32.282,8192
32.283,1086
34.871,8192
34.875,8192
34.877,8192
34.879,8192
34.881,2205
37.432,8192
37.437,8192
37.440,8192
37.442,8192
37.445,6728
40.258,8192
40.262,8192
40.264,8192
40.267,8192
40.269,3908
42.538,8192
42.543,8192
42.546,2278
44.969,8192
44.974,8192
44.977,8192
44.979,8192
44.982,196
47.442,8192
47.447,8192
47.450,8192
47.452,8192
47.454,1202
50.417,8192
50.423,8192
50.426,8192
50.428,8192
50.430,8192
50.434,550
52.486,8192
52.494,8192
52.497,7735
54.519,8192
54.523,8192
54.526,8192
54.528,8192
54.530,5159
57.149,8192
57.155,8192
57.160,8192
57.163,8192
57.166,1780
59.819,8192
59.823,8192
59.826,3686
61.750,8192
61.755,8192
61.758,8192
61.760,7793
63.775,8192
63.779,8192
63.784,8192
63.786,7748
66.024,8192
66.027,8192
66.030,8192
66.032,8192
66.034,2717
68.673,8192
68.677,8192
68.681,8192
68.683,8192
68.685,3690
71.597,8192
71.602,8192
71.605,8192
71.608,8192
71.611,8192
71.614,325
