ms_since_start,bytes
2.553,8192
2.562,8192
2.566,1947
6.626,8192
6.632,8192
6.637,8192
6.639,8192
6.643,3712
8.857,8192
8.861,8192
8.863,4579
11.806,8192
11.813,8192
11.816,8192
11.819,8192
11.822,2129
14.339,8192
14.354,8192
14.356,8192
14.358,8192
14.360,4094
16.676,8192
16.680,8192
16.683,8192
16.685,8192
16.688,5294
19.035,8192
19.039,8192
19.043,8192
19.046,8192
19.050,2224
21.632,8192
21.636,8192
21.639,1166
24.107,8192
24.110,8192
24.113,8192
24.115,8192
24.117,8192
24.119,286
26.152,8192
26.157,8192
26.159,8192
26.161,2837
28.714,8192
28.728,8192
28.731,8192
28.735,8192
28.737,1975
31.422,8192
31.460,8192
31.462,1374
33.774,8192
33.778,8192
33.782,8192
33.785,8192
33.787,8192
33.791,2976
36.080,8192
36.084,8192
36.087,8192
36.089,8192
36.090,2195
38.375,8192
38.378,8192
38.381,8192
38.383,8192
38.385,4926
40.765,8192
40.768,8192
40.771,8192
40.773,8192
40.775,4814
42.790,8192
42.793,8192
42.795,2920
44.864,8192
44.874,8192
44.876,8192
44.878,1141
47.310,8192
47.314,8192
47.317,8192
47.321,8192
47.323,8192
47.325,191
49.515,8192
49.520,8192
49.522,8192
49.523,8192
49.525,8192
49.527,386
51.400,8192
51.405,8192
51.412,8192
51.415,1333
53.314,8192
53.318,8192
53.321,8192
53.324,5639
55.447,8192
55.451,8192
55.454,8192
55.456,8192
55.458,8192
55.463,946
57.601,8192
57.606,8192
57.610,3478
59.870,8192
59.874,8192
59.879,4876
62.434,8192
62.440,8192
62.443,8192
62.446,8192
62.448,8192
62.451,2312
64.713,8192
64.716,8192
64.719,8192
64.723,8192
64.727,2733
66.951,8192
66.954,8192
66.958,8192
66.961,8192
66.965,3593
69.088,8192
69.094,8192
69.096,3126
22710.179,8192
22710.188,8192
22710.191,8192
22710.194,42
