ms_since_start,bytes
2807.236,8192
2807.257,8192
2807.267,5163
2813.357,8192
2813.369,8192
2813.383,8192
2813.388,8192
2813.401,2984
9765.968,8192
9765.975,8192
9765.978,7380
9767.600,8192
9767.603,8192
9767.609,8192
9767.612,8192
9767.616,4088
9769.273,8192
9769.276,8192
9769.283,8192
9769.285,8192
9769.288,6421
9770.962,8192
9770.964,8192
9770.966,1351
9772.339,8192
9772.350,8192
9772.353,4239
9773.850,8192
9773.852,8192
9773.858,8192
9773.862,8192
9773.863,8192
9773.865,8192
9773.874,702
9775.492,8192
9775.497,8192
9775.500,8192
9775.502,8192
9775.507,2568
9777.063,8192
9777.067,8192
9777.073,8192
9777.076,7402
9778.616,8192
9778.621,8192
9778.625,2684
9780.435,8192
9780.438,8192
9780.443,8192
9780.445,8192
9780.449,1987
9782.447,8192
9782.451,8192
9782.460,7263
9784.928,8192
9784.937,8192
9784.940,8192
9784.942,8192
9784.945,4241
9786.541,8192
9786.544,8192
9786.547,3363
