ms_since_start,bytes
8825.214,8192
8825.227,8192
8825.234,8192
8825.237,8192
8825.240,7631
8827.276,8192
8827.278,8192
8827.282,8192
8827.284,8192
8827.287,958
8829.582,8192
8829.586,8192
8829.590,8192
8829.592,8192
8829.595,6237
8831.963,8192
8831.967,8192
8831.970,8192
8831.973,4574
8835.175,8192
8835.181,8192
8835.185,2458
8838.265,8192
8838.290,8192
8838.295,8192
8838.318,8192
8838.322,5471
8840.939,8192
8840.954,8192
8840.961,8192
8840.965,8192
8840.972,5750
8843.614,8192
8843.619,8192
8843.622,8192
8843.624,7476
8846.236,8192
8846.245,8192
8846.248,8192
8846.250,8192
8846.253,2287
8848.581,8192
8848.591,8192
8848.593,8192
8848.595,2622
8851.830,8192
8851.835,8192
8851.838,8192
8851.841,8192
8851.843,5342
8854.392,8192
8854.402,8192
8854.404,1020
8856.735,8192
8856.738,8192
8856.743,8192
8856.746,8192
8856.749,6951
8859.067,8192
8859.070,8192
8859.073,8192
8859.074,8192
8859.079,5527
8859.723,8192
8859.726,92
