ms_since_start,bytes
4095.574,8192
4095.585,8192
4095.591,4343
4097.976,8192
4097.981,8192
4097.994,8192
4097.997,8192
4098.002,3698
4102.691,8192
4102.698,8192
4102.702,5942
20671.812,8192
20671.823,8192
20671.825,8192
20671.828,8192
20671.830,8192
20671.833,2605
20673.343,8192
20673.348,8192
20673.353,8192
20673.356,8192
20673.360,698
20674.860,8192
20674.866,8192
20674.868,8192
20674.870,8192
20674.873,2552
20676.378,8192
20676.383,8192
20676.386,3628
20677.876,8192
20677.881,8192
20677.883,1875
20679.488,8192
20679.490,8192
20679.493,8192
20679.496,8192
20679.498,8192
20679.501,2302
20681.012,8192
20681.014,8192
20681.017,8192
20681.021,8192
20681.023,2354
20682.288,8192
20682.292,8192
20682.295,8192
20682.300,2482
20684.073,8192
20684.077,8192
20684.083,8192
20684.087,8192
20684.090,1685
20686.025,8192
20686.035,8192
20686.039,8192
20686.042,8192
20686.045,3057
20687.546,8192
20687.550,8192
20687.552,2512
20689.273,8192
20689.280,8192
20689.283,8192
20689.288,8192
20689.297,3853
20690.985,8192
20690.989,8192
20690.992,8192
20690.994,8192
20690.999,7463
20692.345,8192
20692.349,8192
20692.352,8192
20692.355,5760
20693.839,8192
20693.842,8192
20693.845,8192
20693.848,8192
20693.852,1554
20695.443,8192
20695.448,8192
20695.450,4398
20696.954,8192
20696.961,8192
20696.964,8192
20696.968,6743
20698.261,8192
20698.266,8192
20698.268,1048
20700.812,8192
20700.824,8192
20700.828,8192
20700.838,8192
20700.842,8192
20700.848,8192
20700.853,1865
20702.664,8192
20702.679,8192
20702.681,1272
20704.101,8192
20704.107,8192
20704.109,4561
20705.262,8192
20705.279,8192
20705.284,8192
20705.286,8192
20705.289,8192
20705.293,4211
20707.080,8192
20707.084,8192
20707.086,8192
20707.088,8192
20707.095,2337
20708.708,8192
20708.712,8192
20708.718,8192
20708.719,8192
20708.723,4753
20710.133,8192
20710.136,8192
20710.139,1049
20711.789,8192
20711.793,8192
20711.795,8192
20711.798,8192
20711.800,6052
