ms_since_start,bytes
3591.163,8192
3591.172,8192
3591.177,4343
3595.008,8192
3595.022,8192
3595.058,8192
3595.065,8192
3595.076,3698
3597.720,8192
3597.728,8192
3597.731,5942
20039.239,8192
20039.249,8192
20039.252,8192
20039.255,8192
20039.257,8192
20039.260,2605
20040.575,8192
20040.580,8192
20040.587,8192
20040.590,8192
20040.593,698
20042.164,8192
20042.182,8192
20042.185,8192
20042.188,8192
20042.194,2552
20044.033,8192
20044.039,8192
20044.041,3628
20045.566,8192
20045.574,8192
20045.576,1875
20047.218,8192
20047.221,8192
20047.224,8192
20047.227,8192
20047.230,8192
20047.232,2302
20048.699,8192
20048.701,8192
20048.707,8192
20048.711,8192
20048.713,2354
20049.939,8192
20049.941,8192
20049.943,8192
20049.950,2482
20051.466,8192
20051.469,8192
20051.473,8192
20051.475,8192
20051.477,1685
20052.948,8192
20052.955,8192
20052.958,8192
20052.961,8192
20052.964,3057
20054.432,8192
20054.436,8192
20054.438,2512
20056.274,8192
20056.285,8192
20056.289,8192
20056.292,8192
20056.300,3853
20057.957,8192
20057.960,8192
20057.962,8192
20057.965,8192
20057.974,7463
20059.804,8192
20059.816,8192
20059.821,8192
20059.829,5760
20062.293,8192
20062.298,8192
20062.302,8192
20062.314,8192
20062.318,1554
20064.095,8192
20064.104,8192
20064.106,4398
20065.927,8192
20065.936,8192
20065.938,8192
20065.942,6743
20067.535,8192
20067.547,8192
20067.550,1048
20069.289,8192
20069.295,8192
20069.297,8192
20069.300,8192
20069.302,8192
20069.304,8192
20069.306,1865
20070.595,8192
20070.598,8192
20070.600,1272
20071.952,8192
20071.958,8192
20071.960,4561
20073.114,8192
20073.117,8192
20073.121,8192
20073.123,8192
20073.126,8192
20073.128,4211
20074.560,8192
20074.563,8192
20074.566,8192
20074.568,8192
20074.575,2337
20076.386,8192
20076.392,8192
20076.401,8192
20076.403,8192
20076.408,4753
20078.176,8192
20078.180,8192
20078.183,1049
20079.852,8192
20079.861,8192
20079.863,8192
20079.866,8192
20079.868,6052
