ms_since_start,bytes
3497.323,8192
3497.333,8192
3497.338,4343
3499.623,8192
3499.627,8192
3499.630,8192
3499.632,8192
3499.635,3698
3502.779,8192
3502.784,8192
3502.787,5942
18914.359,8192
18914.368,8192
18914.371,8192
18914.373,8192
18914.375,8192
18914.378,2605
18915.922,8192
18915.926,8192
18915.933,8192
18915.937,8192
18915.939,698
18917.810,8192
18917.814,8192
18917.817,8192
18917.819,8192
18917.821,2552
18919.628,8192
18919.631,8192
18919.634,3628
18921.190,8192
18921.194,8192
18921.197,1875
18923.223,8192
18923.228,8192
18923.230,8192
18923.232,8192
18923.234,8192
18923.236,2302
18925.290,8192
18925.298,8192
18925.306,8192
18925.310,8192
18925.332,2354
18928.080,8192
18928.088,8192
18928.093,8192
18928.107,2482
18932.428,8192
18932.433,8192
18932.439,8192
18932.443,8192
18932.445,1685
18934.679,8192
18934.709,8192
18934.714,8192
18934.721,8192
18934.727,3057
18938.116,8192
18938.120,8192
18938.123,2512
18940.000,8192
18940.006,8192
18940.008,8192
18940.010,8192
18940.012,3853
18941.664,8192
18941.668,8192
18941.671,8192
18941.672,8192
18941.675,7463
18943.034,8192
18943.037,8192
18943.040,8192
18943.042,5760
18944.729,8192
18944.733,8192
18944.736,8192
18944.738,8192
18944.740,1554
18946.443,8192
18946.447,8192
18946.449,4398
18948.057,8192
18948.061,8192
18948.063,8192
18948.070,6743
18949.316,8192
18949.320,8192
18949.323,1048
18950.966,8192
18950.971,8192
18950.973,8192
18950.976,8192
18950.977,8192
18950.979,8192
18950.981,1865
18952.329,8192
18952.332,8192
18952.334,1272
18953.621,8192
18953.701,8192
18953.704,4561
18954.880,8192
18954.884,8192
18954.893,8192
18954.899,8192
18954.902,8192
18954.905,4211
18956.597,8192
18956.600,8192
18956.604,8192
18956.605,8192
18956.611,2337
18958.716,8192
18958.720,8192
18958.727,8192
18958.728,8192
18958.732,4753
18960.386,8192
18960.390,8192
18960.396,1049
18962.730,8192
18962.738,8192
18962.741,8192
18962.744,8192
18962.747,6052
