ms_since_start,bytes
2.612,8192
2.616,8192
2.619,1947
14475.163,8192
14475.169,8192
14475.173,8192
14475.176,8192
14475.178,3712
14477.332,8192
14477.335,8192
14477.338,4579
14479.611,8192
14479.614,8192
14479.617,8192
14479.619,8192
14479.621,2129
14482.053,8192
14482.058,8192
14482.061,8192
14482.071,8192
14482.073,4094
14484.324,8192
14484.328,8192
14484.331,8192
14484.333,8192
14484.335,5294
14487.521,8192
14487.524,8192
14487.526,8192
14487.528,8192
14487.539,2224
14489.694,8192
14489.699,8192
14489.703,1166
14492.463,8192
14492.467,8192
14492.470,8192
14492.472,8192
14492.474,8192
14492.477,286
14494.556,8192
14494.559,8192
14494.561,8192
14494.563,2837
14496.694,8192
14496.697,8192
14496.699,8192
14496.701,8192
14496.703,1975
14498.637,8192
14498.641,8192
14498.643,1374
14500.987,8192
14501.002,8192
14501.005,8192
14501.007,8192
14501.009,8192
14501.011,2976
14503.412,8192
14503.415,8192
14503.419,8192
14503.420,8192
14503.423,2195
14505.808,8192
14505.812,8192
14505.815,8192
14505.817,8192
14505.819,4926
14508.630,8192
14508.635,8192
14508.637,8192
14508.640,8192
14508.642,4814
14510.770,8192
14510.774,8192
14510.776,2920
14512.691,8192
14512.695,8192
14512.697,8192
14512.698,1141
14514.876,8192
14514.878,8192
14514.879,8192
14514.881,8192
14514.883,8192
14514.885,191
14517.015,8192
14517.018,8192
14517.020,8192
14517.021,8192
14517.023,8192
14517.025,386
14518.849,8192
14518.852,8192
14518.855,8192
14518.857,1333
14520.768,8192
14520.771,8192
14520.773,8192
14520.775,5639
14523.026,8192
14523.029,8192
14523.031,8192
14523.033,8192
14523.035,8192
14523.037,946
14525.659,8192
14525.752,8192
14525.755,3478
14527.477,8192
14527.481,8192
14527.487,4876
14529.358,8192
14529.363,8192
14529.366,8192
14529.372,8192
14529.374,8192
14529.378,2312
14531.516,8192
14531.519,8192
14531.521,8192
14531.526,8192
14531.529,2733
14533.699,8192
14533.702,8192
14533.707,8192
14533.709,8192
14533.712,3593
14535.795,8192
14535.800,8192
14535.802,3126
37363.253,8192
37363.265,8192
37363.268,8192
37363.271,42
