ms_since_start,bytes
8134.048,8192
8134.053,8192
8134.057,8192
8134.068,8192
8134.072,7581
8136.349,8192
8136.354,8192
8136.358,8192
8136.361,8192
8136.365,966
8138.913,8192
8138.918,8192
8138.921,8192
8138.924,8192
8138.927,6320
8140.981,8192
8140.984,8192
8140.988,8192
8140.990,6204
8142.956,8192
8142.959,8192
8142.961,2416
8145.493,8192
8145.497,8192
8145.500,8192
8145.504,8192
8145.505,5349
8147.732,8192
8147.735,8192
8147.738,8192
8147.741,8192
8147.744,7250
8149.563,8192
8149.566,8192
8149.568,8192
8149.570,4568
8151.923,8192
8151.926,8192
8151.929,8192
8151.932,8192
8151.934,2686
8153.955,8192
8153.958,8192
8153.961,8192
8153.963,4535
8156.097,8192
8156.100,8192
8156.103,8192
8156.105,8192
8156.108,4316
8156.145,386
8158.155,8192
8158.158,8192
8158.160,1043
8160.357,8192
8160.361,8192
8160.364,8192
8160.365,8192
8160.368,6078
8162.673,8192
8162.676,8192
8162.679,8192
8162.681,8192
8162.683,5341
30728.351,6525
