ms_since_start,bytes
2506.680,8192
2506.692,8192
2506.697,4343
2509.181,8192
2509.185,8192
2509.189,8192
2509.192,8192
2509.195,3698
2511.681,8192
2511.685,8192
2511.687,5942
17538.732,8192
17538.738,8192
17538.741,8192
17538.744,8192
17538.747,8192
17538.749,2591
17540.276,8192
17540.281,8192
17540.284,8192
17540.288,8192
17540.293,768
17542.091,8192
17542.096,8192
17542.100,8192
17542.103,8192
17542.106,2465
17543.729,8192
17543.733,8192
17543.736,3516
17545.153,8192
17545.159,8192
17545.162,1978
17546.792,8192
17546.795,8192
17546.798,8192
17546.800,8192
17546.802,8192
17546.808,2324
17548.337,8192
17548.341,8192
17548.345,8192
17548.347,8192
17548.349,2254
17549.660,8192
17549.663,8192
17549.665,8192
17549.702,2992
17551.146,8192
17551.152,8192
17551.154,8192
17551.156,8192
17551.158,1674
17552.651,8192
17552.657,8192
17552.659,8192
17552.661,8192
17552.663,3152
17554.184,8192
17554.187,8192
17554.190,2594
17555.753,8192
17555.761,8192
17555.765,8192
17555.768,8192
17555.771,4100
17557.623,8192
17557.628,8192
17557.631,8192
17557.633,8192
17557.645,7210
17559.161,8192
17559.171,8192
17559.173,8192
17559.177,5665
17560.732,8192
17560.736,8192
17560.739,8192
17560.746,8192
17560.750,1123
17562.115,8192
17562.122,8192
17562.126,4116
17563.537,8192
17563.542,8192
17563.545,8192
17563.548,6767
17564.725,8192
17564.728,8192
17564.733,1233
17566.375,8192
17566.385,8192
17566.387,8192
17566.391,8192
17566.393,8192
17566.396,7242
17567.839,8192
17567.845,8192
17567.847,2771
17569.128,8192
17569.133,8192
17569.140,3163
17570.674,8192
17570.677,8192
17570.682,8192
17570.684,8192
17570.690,8192
17570.691,8192
17570.694,8192
17570.701,4287
17572.020,8192
17572.042,8192
17572.045,1926
17573.836,8192
17573.845,8192
17573.848,8192
17573.852,8192
17573.854,4790
17575.689,8192
17575.693,8192
17575.701,8192
17575.702,8192
17575.706,4034
40413.446,8192
40413.455,8192
40413.457,2030
