ms_since_start,bytes
4252.030,8192
4252.041,8192
4252.049,4343
4257.025,8192
4257.034,8192
4257.041,8192
4257.045,8192
4257.051,3698
4259.658,8192
4259.663,8192
4259.669,5942
20335.961,8192
20335.968,8192
20335.971,8192
20335.974,8192
20335.975,8192
20335.978,2605
20481.958,8192
20481.963,8192
20481.972,8192
20481.976,8192
20481.979,698
20483.758,8192
20483.767,8192
20483.773,8192
20483.777,8192
20483.786,2552
20486.682,8192
20486.697,8192
20486.702,3628
20489.514,8192
20489.523,8192
20489.528,1875
20492.387,8192
20492.392,8192
20492.395,8192
20492.402,8192
20492.406,8192
20492.410,2302
20494.910,8192
20494.917,8192
20494.926,8192
20494.932,8192
20494.936,2354
20642.284,8192
20642.290,8192
20642.293,8192
20642.303,2482
20644.041,8192
20644.045,8192
20644.053,8192
20644.055,8192
20644.057,1685
20646.153,8192
20646.159,8192
20646.163,8192
20646.165,8192
20646.169,3057
20648.197,8192
20648.201,8192
20648.204,2512
20650.333,8192
20650.337,8192
20650.341,8192
20650.345,8192
20650.348,3853
20652.666,8192
20652.672,8192
20652.675,8192
20652.678,8192
20652.681,7463
20654.358,8192
20654.372,8192
20654.376,8192
20654.384,5760
20657.002,8192
20657.009,8192
20657.018,8192
20657.021,8192
20657.024,1554
20658.743,8192
20658.747,8192
20658.750,4398
20660.345,8192
20660.349,8192
20660.352,8192
20660.355,6743
20661.768,8192
20661.774,8192
20661.776,1048
20663.488,8192
20663.492,8192
20663.495,8192
20663.500,8192
20663.502,8192
20663.504,8192
20663.506,1865
20665.222,8192
20665.225,8192
20665.228,1272
20666.746,8192
20666.756,8192
20666.760,4561
20668.097,8192
20668.100,8192
20668.106,8192
20668.109,8192
20668.112,8192
20668.114,4211
20669.703,8192
20669.706,8192
20669.710,8192
20669.713,8192
20669.718,2337
20671.751,8192
20671.758,8192
20671.761,8192
20671.763,8192
20671.769,4753
20673.548,8192
20673.553,8192
20673.556,1049
20675.367,8192
20675.371,8192
20675.374,8192
20675.376,8192
20675.379,6052
