ms_since_start,bytes
2.417,8192
2.421,8192
2.423,1947
14840.662,8192
14840.668,8192
14840.671,8192
14840.673,8192
14840.677,3712
14843.134,8192
14843.139,8192
14843.142,8192
14843.143,8192
14843.146,4389
14845.532,8192
14845.534,8192
14845.539,1379
14849.170,8192
14849.178,8192
14849.181,8192
14849.184,8192
14849.187,4026
14852.438,8192
14852.446,8192
14852.448,8192
14852.451,8192
14852.456,5264
14855.223,8192
14855.227,8192
14855.231,8192
14855.233,8192
14855.238,2202
14857.343,8192
14857.346,8192
14857.351,1154
14859.994,8192
14859.999,8192
14860.004,8192
14860.007,8192
14860.010,8192
14860.015,506
14862.091,8192
14862.095,8192
14862.097,8192
14862.099,2103
14864.999,8192
14865.031,8192
14865.052,8192
14865.057,8192
14865.062,1923
14867.502,8192
14867.511,8192
14867.513,3117
14869.843,8192
14869.847,8192
14869.850,8192
14869.852,8192
14869.854,8192
14869.856,1086
14872.033,8192
14872.038,8192
14872.041,8192
14872.042,8192
14872.044,2205
14874.390,8192
14874.393,8192
14874.396,8192
14874.398,8192
14874.400,6728
14876.651,8192
14876.654,8192
14876.658,8192
14876.662,8192
14876.670,3908
14878.755,8192
14878.758,8192
14878.760,2278
14881.539,8192
14881.546,8192
14881.551,8192
14881.553,8192
14881.556,196
14883.805,8192
14883.808,8192
14883.811,8192
14883.814,8192
14883.816,1202
14886.140,8192
14886.144,8192
14886.147,8192
14886.148,8192
14886.150,8192
14886.154,550
14888.225,8192
14888.229,8192
14888.231,7735
14890.167,8192
14890.170,8192
14890.173,8192
14890.174,8192
14890.177,5159
14892.465,8192
14892.469,8192
14892.471,8192
14892.476,8192
14892.478,1780
14894.516,8192
14894.519,8192
14894.521,3686
14897.679,8192
14897.683,8192
14897.692,8192
14897.694,7793
14899.929,8192
14899.933,8192
14899.935,8192
14899.937,7748
14902.181,8192
14902.183,8192
14902.188,8192
14902.190,8192
14902.195,2717
14904.524,8192
14904.527,8192
14904.532,8192
14904.534,8192
14904.538,3690
14907.042,8192
14907.048,8192
14907.051,8192
14907.054,8192
14907.055,8192
14907.059,325
