ms_since_start,bytes
2718.935,8192
2718.947,8192
2718.953,4343
2721.339,8192
2721.347,8192
2721.352,8192
2721.355,8192
2721.359,3698
2724.084,8192
2724.092,8192
2724.097,5942
17651.119,8192
17651.125,8192
17651.128,8192
17651.131,8192
17651.135,8192
17651.138,2605
17652.623,8192
17652.628,8192
17652.633,8192
17652.635,8192
17652.650,698
17654.199,8192
17654.204,8192
17654.206,8192
17654.208,8192
17654.212,2552
17656.147,8192
17656.152,8192
17656.155,3628
17657.683,8192
17657.688,8192
17657.690,1875
17659.505,8192
17659.509,8192
17659.511,8192
17659.515,8192
17659.517,8192
17659.520,2302
17661.314,8192
17661.319,8192
17661.330,8192
17661.335,8192
17661.337,2354
17663.239,8192
17663.243,8192
17663.246,8192
17663.255,2482
17665.008,8192
17665.012,8192
17665.017,8192
17665.019,8192
17665.024,1685
17666.569,8192
17666.577,8192
17666.580,8192
17666.585,8192
17666.588,3057
17668.120,8192
17668.123,8192
17668.125,2512
17669.825,8192
17669.835,8192
17669.838,8192
17669.841,8192
17669.846,3853
17671.502,8192
17671.505,8192
17671.508,8192
17671.515,8192
17671.523,7463
17673.189,8192
17673.195,8192
17673.197,8192
17673.201,5760
17674.736,8192
17674.738,8192
17674.742,8192
17674.747,8192
17674.751,1554
17676.109,8192
17676.114,8192
17676.116,4398
17677.487,8192
17677.494,8192
17677.497,8192
17677.500,6743
17679.693,8192
17679.701,8192
17679.708,1048
17681.556,8192
17681.562,8192
17681.564,8192
17681.568,8192
17681.570,8192
17681.572,8192
17681.575,1865
17683.023,8192
17683.035,8192
17683.040,1272
17684.496,8192
17684.506,8192
17684.509,4561
17685.732,8192
17685.735,8192
17685.742,8192
17685.744,8192
17685.747,8192
17685.750,4211
17687.324,8192
17687.327,8192
17687.330,8192
17687.332,8192
17687.339,2337
17688.922,8192
17688.925,8192
17688.929,8192
17688.931,8192
17688.935,4753
17690.526,8192
17690.529,8192
17690.537,1049
17692.175,8192
17692.182,8192
17692.185,8192
17692.188,8192
17692.190,6052
