ms_since_start,bytes
2.713,8192
2.719,8192
2.724,1947
15225.305,8192
15225.311,8192
15225.315,8192
15225.317,8192
15225.319,3712
15227.425,8192
15227.430,8192
15227.432,4579
15230.365,8192
15230.370,8192
15230.374,8192
15230.376,8192
15230.379,2129
15232.813,8192
15232.817,8192
15232.820,8192
15232.822,8192
15232.824,4094
15235.982,8192
15235.985,8192
15235.987,8192
15235.989,8192
15235.991,5294
15238.442,8192
15238.445,8192
15238.448,8192
15238.450,8192
15238.452,2224
15240.500,8192
15240.503,8192
15240.506,1166
15242.901,8192
15242.905,8192
15242.908,8192
15242.910,8192
15242.913,8192
15242.915,286
15245.258,8192
15245.262,8192
15245.265,8192
15245.268,2837
15247.695,8192
15247.709,8192
15247.712,8192
15247.714,8192
15247.716,1975
15249.581,8192
15249.584,8192
15249.587,1374
15251.789,8192
15251.791,8192
15251.793,8192
15251.795,8192
15251.796,8192
15251.798,2976
15253.922,8192
15253.924,8192
15253.926,8192
15253.928,8192
15253.930,2195
15256.201,8192
15256.206,8192
15256.211,8192
15256.213,8192
15256.215,4926
15258.711,8192
15258.715,8192
15258.717,8192
15258.720,8192
15258.722,4814
15261.264,8192
15261.269,8192
15261.273,2920
15263.575,8192
15263.579,8192
15263.582,8192
15263.584,1141
15265.922,8192
15265.925,8192
15265.928,8192
15266.009,8192
15266.013,8192
15266.015,191
15268.205,8192
15268.211,8192
15268.214,8192
15268.217,8192
15268.218,8192
15268.222,386
15270.239,8192
15270.243,8192
15270.253,8192
15270.255,1333
15272.406,8192
15272.418,8192
15272.421,8192
15272.425,5639
15274.569,8192
15274.575,8192
15274.580,8192
15274.583,8192
15274.584,8192
15274.586,946
15276.955,8192
15276.965,8192
15276.969,3478
15279.043,8192
15279.048,8192
15279.056,4876
15280.970,8192
15280.975,8192
15280.978,8192
15280.981,8192
15280.982,8192
15280.985,2312
15283.367,8192
15283.369,8192
15283.371,8192
15283.379,8192
15283.382,2733
15285.723,8192
15285.727,8192
15285.732,8192
15285.734,8192
15285.738,3593
15287.999,8192
15288.006,8192
15288.009,3126
42745.990,8192
42746.002,8192
42746.005,8192
42746.009,42
