ms_since_start,bytes
2.416,8192
2.419,8192
2.429,1947
4.679,8192
4.683,8192
4.687,8192
4.689,8192
4.691,3712
7.010,8192
7.015,8192
7.017,4579
9.247,8192
9.250,8192
9.252,8192
9.254,8192
9.257,2129
11.638,8192
11.644,8192
11.646,8192
11.649,8192
11.652,4094
14.219,8192
14.224,8192
14.227,8192
14.229,8192
14.232,5294
16.516,8192
16.519,8192
16.521,8192
16.523,8192
16.525,2224
18.785,8192
18.789,8192
18.792,1166
21.686,8192
21.691,8192
21.693,8192
21.695,8192
21.697,8192
21.700,286
23.733,8192
23.737,8192
23.738,8192
23.740,2837
25.892,8192
25.895,8192
25.898,8192
25.901,8192
25.904,1975
27.799,8192
27.801,8192
27.804,1374
30.031,8192
30.034,8192
30.036,8192
30.037,8192
30.039,8192
30.044,2976
32.435,8192
32.438,8192
32.442,8192
32.444,8192
32.448,2195
35.010,8192
35.014,8192
35.018,8192
35.019,8192
35.021,4926
37.326,8192
37.328,8192
37.331,8192
37.332,8192
37.334,4814
39.377,8192
39.380,8192
39.382,2920
41.289,8192
41.293,8192
41.296,8192
41.298,1141
44.620,8192
44.622,8192
44.624,8192
44.626,8192
44.628,8192
44.629,191
45.445,8192
45.448,8192
45.451,8192
45.453,8192
45.454,8192
45.456,386
47.388,8192
47.392,8192
47.394,8192
47.396,1333
49.675,8192
49.679,8192
49.682,8192
49.685,5639
51.984,8192
51.987,8192
51.990,8192
51.992,8192
51.994,8192
51.996,946
54.043,8192
54.048,8192
54.050,3478
55.813,8192
55.815,8192
55.817,4876
57.798,8192
57.802,8192
57.804,8192
57.806,8192
57.808,8192
57.810,2312
60.209,8192
60.212,8192
60.214,8192
60.216,8192
60.218,2733
62.346,8192
62.349,8192
62.351,8192
62.353,8192
62.355,3593
64.419,8192
64.446,8192
64.449,3126
26869.587,8192
26869.593,8192
26869.596,8192
26869.599,42
