ms_since_start,bytes
2.391,8192
2.395,8192
2.398,1947
4.988,8192
4.992,8192
5.004,8192
5.008,8192
5.011,3712
7.508,8192
7.516,8192
7.518,4579
10.028,8192
10.038,8192
10.042,8192
10.044,8192
10.046,2129
12.586,8192
12.596,8192
12.599,8192
12.602,8192
12.604,4094
15.985,8192
15.988,8192
15.992,8192
15.994,8192
16.002,5294
18.217,8192
18.221,8192
18.224,8192
18.227,8192
18.231,2224
20.535,8192
20.539,8192
20.550,1166
23.189,8192
23.196,8192
23.199,8192
23.201,8192
23.204,8192
23.208,286
25.791,8192
25.796,8192
25.800,8192
25.802,2837
45.903,8192
45.920,8192
45.922,8192
45.927,8192
45.930,1975
97.669,8192
97.678,8192
97.681,1374
113.263,8192
113.281,8192
113.284,8192
113.288,8192
113.289,8192
113.297,2976
115.791,8192
115.804,8192
115.806,8192
115.809,8192
115.812,2195
118.284,8192
118.288,8192
118.306,8192
118.310,8192
118.313,4926
120.751,8192
120.754,8192
120.761,8192
120.762,8192
120.765,4814
123.050,8192
123.053,8192
123.060,2920
125.360,8192
125.375,8192
125.378,8192
125.383,1141
129.309,8192
129.314,8192
129.317,8192
129.329,8192
129.330,8192
129.333,191
132.351,8192
132.355,8192
132.357,8192
132.367,8192
132.369,8192
132.373,386
137.126,8192
137.145,8192
137.152,8192
137.154,1333
139.954,8192
139.961,8192
139.964,8192
139.967,5639
142.649,8192
142.661,8192
142.663,8192
142.667,8192
142.668,8192
142.672,946
144.921,8192
144.931,8192
144.937,3478
146.939,8192
146.943,8192
146.949,4876
148.806,8192
148.811,8192
148.814,8192
148.817,8192
148.819,8192
148.822,2312
150.990,8192
150.993,8192
150.995,8192
151.093,8192
151.096,2733
153.254,8192
153.257,8192
153.262,8192
153.265,8192
153.269,3593
155.498,8192
155.504,8192
155.506,3126
26518.004,8192
26518.016,8192
26518.018,8192
26518.022,42
