ms_since_start,bytes
2.642,8192
2.645,8192
2.649,1947
7.060,8192
7.067,8192
7.071,8192
7.073,8192
7.079,3712
9.920,8192
9.927,8192
9.929,4579
12.634,8192
12.649,8192
12.652,8192
12.657,8192
12.680,2129
16.658,8192
16.672,8192
16.675,8192
16.679,8192
16.682,4094
19.359,8192
19.363,8192
19.367,8192
19.369,8192
19.371,5294
21.669,8192
21.673,8192
21.676,8192
21.678,8192
21.689,2224
24.359,8192
24.362,8192
24.370,1166
28.427,8192
28.434,8192
28.437,8192
28.439,8192
28.448,8192
28.452,286
31.878,8192
31.889,8192
31.892,8192
31.894,2837
35.051,8192
35.061,8192
35.064,8192
35.067,8192
35.069,1975
37.429,8192
37.439,8192
37.442,1374
40.510,8192
40.521,8192
40.524,8192
40.529,8192
40.531,8192
40.535,2976
43.239,8192
43.251,8192
43.254,8192
43.256,8192
43.259,2195
46.374,8192
46.380,8192
46.396,8192
46.399,8192
46.405,4926
48.998,8192
49.001,8192
49.003,8192
49.005,8192
49.008,4814
51.268,8192
51.271,8192
51.273,2920
53.242,8192
53.246,8192
53.249,8192
53.255,1141
55.565,8192
55.569,8192
55.572,8192
55.574,8192
55.576,8192
55.578,191
58.013,8192
58.023,8192
58.025,8192
58.029,8192
58.030,8192
58.033,386
60.522,8192
60.529,8192
60.538,8192
60.541,1333
62.628,8192
62.635,8192
62.637,8192
62.640,5639
64.914,8192
64.917,8192
64.920,8192
64.922,8192
64.923,8192
64.926,946
67.304,8192
67.320,8192
67.324,3478
69.255,8192
69.259,8192
69.263,4876
71.394,8192
71.402,8192
71.405,8192
71.408,8192
71.410,8192
71.414,2312
74.353,8192
74.357,8192
74.360,8192
74.372,8192
74.377,2733
76.703,8192
76.706,8192
76.712,8192
76.715,8192
76.719,3593
78.911,8192
78.916,8192
78.917,3126
26918.795,8192
26918.810,8192
26918.814,8192
26918.818,42
