ms_since_start,bytes
2.901,8192
2.907,8192
2.916,1947
6.667,8192
6.676,8192
6.679,8192
6.681,8192
6.685,3712
8.920,8192
8.924,8192
8.926,4579
11.483,8192
11.487,8192
11.491,8192
11.493,8192
11.495,2129
14.455,8192
14.462,8192
14.464,8192
14.466,8192
14.469,4094
16.776,8192
16.780,8192
16.783,8192
16.785,8192
16.788,5294
19.424,8192
19.429,8192
19.432,8192
19.435,8192
19.445,2224
21.844,8192
21.849,8192
21.852,1166
24.738,8192
24.743,8192
24.746,8192
24.748,8192
24.750,8192
24.755,286
27.305,8192
27.309,8192
27.312,8192
27.314,2837
30.290,8192
30.295,8192
30.298,8192
30.300,8192
30.302,1975
32.444,8192
32.448,8192
32.450,1374
34.697,8192
34.700,8192
34.703,8192
34.704,8192
34.706,8192
34.753,2976
37.524,8192
37.534,8192
37.536,8192
37.538,8192
37.543,2195
40.338,8192
40.343,8192
40.353,8192
40.357,8192
40.359,4926
43.200,8192
43.204,8192
43.205,8192
43.207,8192
43.210,4814
45.282,8192
45.285,8192
45.288,2920
47.284,8192
47.288,8192
47.291,8192
47.293,1141
49.686,8192
49.689,8192
49.691,8192
49.699,8192
49.702,8192
49.704,191
53.019,8192
53.027,8192
53.034,8192
53.038,8192
53.039,8192
53.043,386
55.172,8192
55.177,8192
55.185,8192
55.188,1333
57.492,8192
57.497,8192
57.499,8192
57.503,5639
59.705,8192
59.711,8192
59.713,8192
59.716,8192
59.717,8192
59.720,946
61.761,8192
61.765,8192
61.769,3478
63.658,8192
63.661,8192
63.666,4876
65.466,8192
65.470,8192
65.472,8192
65.475,8192
65.476,8192
65.479,2312
67.705,8192
67.709,8192
67.712,8192
67.717,8192
67.721,2733
70.549,8192
70.553,8192
70.561,8192
70.564,8192
70.568,3593
72.729,8192
72.738,8192
72.741,3126
28539.115,8192
28539.126,8192
28539.129,8192
28539.138,42
