ms_since_start,bytes
3.457,8192
3.462,8192
3.465,1947
14375.123,8192
14375.129,8192
14375.133,8192
14375.134,8192
14375.136,3712
14377.090,8192
14377.097,8192
14377.099,4579
14379.477,8192
14379.483,8192
14379.485,8192
14379.488,8192
14379.490,2129
14382.089,8192
14382.102,8192
14382.104,8192
14382.108,8192
14382.110,4094
14384.612,8192
14384.616,8192
14384.618,8192
14384.622,8192
14384.624,5294
14386.816,8192
14386.820,8192
14386.822,8192
14386.824,8192
14386.828,2224
14388.876,8192
14388.879,8192
14388.881,1166
14391.195,8192
14391.197,8192
14391.199,8192
14391.200,8192
14391.202,8192
14391.203,286
14393.132,8192
14393.134,8192
14393.136,8192
14393.137,2837
14395.367,8192
14395.371,8192
14395.374,8192
14395.376,8192
14395.378,1975
14398.245,8192
14398.256,8192
14398.258,1374
14400.713,8192
14400.720,8192
14400.722,8192
14400.725,8192
14400.726,8192
14400.730,2976
14403.004,8192
14403.012,8192
14403.015,8192
14403.020,8192
14403.022,2195
14405.237,8192
14405.240,8192
14405.246,8192
14405.249,8192
14405.251,4926
14407.447,8192
14407.450,8192
14407.455,8192
14407.456,8192
14407.459,4814
14409.411,8192
14409.413,8192
14409.417,2920
14411.313,8192
14411.318,8192
14411.321,8192
14411.326,1141
14413.704,8192
14413.708,8192
14413.710,8192
14413.720,8192
14413.724,8192
14413.726,191
14416.128,8192
14416.138,8192
14416.141,8192
14416.143,8192
14416.145,8192
14416.148,386
14418.104,8192
14418.108,8192
14418.116,8192
14418.118,1333
14419.925,8192
14419.935,8192
14419.941,8192
14419.944,5639
14422.226,8192
14422.231,8192
14422.233,8192
14422.236,8192
14422.238,8192
14422.240,946
14424.436,8192
14424.441,8192
14424.448,3478
14426.171,8192
14426.173,8192
14426.178,4876
14427.976,8192
14427.983,8192
14427.986,8192
14427.989,8192
14427.990,8192
14427.993,2312
14430.376,8192
14430.380,8192
14430.383,8192
14430.391,8192
14430.394,2733
14432.590,8192
14432.593,8192
14432.605,8192
14432.608,8192
14432.612,3593
14434.652,8192
14434.657,8192
14434.660,3126
39174.402,8192
39174.411,8192
39174.414,8192
39174.418,42
