ms_since_start,bytes
2489.518,8192
2489.528,8192
2489.536,4343
2492.254,8192
2492.259,8192
2492.263,8192
2492.265,8192
2492.267,3698
2494.855,8192
2494.859,8192
2494.862,5942
17976.209,8192
17976.215,8192
17976.218,8192
17976.220,8192
17976.222,8192
17976.225,2591
17977.965,8192
17977.968,8192
17977.972,8192
17977.974,8192
17977.977,768
17979.612,8192
17979.620,8192
17979.623,8192
17979.625,8192
17979.629,2465
17981.205,8192
17981.214,8192
17981.216,3516
17982.553,8192
17982.558,8192
17982.560,1978
17984.196,8192
17984.200,8192
17984.203,8192
17984.206,8192
17984.209,8192
17984.211,2324
17985.772,8192
17985.775,8192
17985.781,8192
17985.785,8192
17985.786,2254
17987.032,8192
17987.034,8192
17987.037,8192
17987.039,2992
17988.530,8192
17988.534,8192
17988.536,8192
17988.538,8192
17988.540,1674
17990.080,8192
17990.089,8192
17990.091,8192
17990.094,8192
17990.097,3152
17991.494,8192
17991.503,8192
17991.506,2594
17993.474,8192
17993.526,8192
17993.529,8192
17993.532,8192
17993.535,4100
17995.326,8192
17995.329,8192
17995.333,8192
17995.335,8192
17995.343,7210
17996.684,8192
17996.690,8192
17996.693,8192
17996.696,5665
17998.223,8192
17998.226,8192
17998.230,8192
17998.236,8192
17998.240,1123
17999.628,8192
17999.632,8192
17999.634,4116
18000.968,8192
18000.973,8192
18000.976,8192
18000.979,6767
18002.159,8192
18002.163,8192
18002.166,1233
18003.747,8192
18003.754,8192
18003.756,8192
18003.760,8192
18003.762,8192
18003.768,7242
18005.140,8192
18005.144,8192
18005.146,2771
18006.323,8192
18006.325,8192
18006.328,3163
18007.840,8192
18007.843,8192
18007.851,8192
18007.853,8192
18007.857,8192
18007.858,8192
18007.861,8192
18007.864,4287
18009.418,8192
18009.427,8192
18009.430,1926
18011.428,8192
18011.438,8192
18011.441,8192
18011.445,8192
18011.447,4790
18013.013,8192
18013.016,8192
18013.025,8192
18013.027,8192
18013.030,4034
44594.380,8192
44594.387,8192
44594.389,2030
