ms_since_start,bytes
3.744,8192
3.749,8192
3.752,1947
17024.208,8192
17024.219,8192
17024.237,8192
17024.245,8192
17024.250,3712
17027.872,8192
17027.880,8192
17027.885,4579
17031.134,8192
17031.140,8192
17031.145,8192
17031.148,8192
17031.151,2129
17034.706,8192
17034.718,8192
17034.722,8192
17034.724,8192
17034.728,4094
17039.091,8192
17039.096,8192
17039.098,8192
17039.100,8192
17039.123,5294
17042.298,8192
17042.302,8192
17042.305,8192
17042.309,8192
17042.312,2224
17045.268,8192
17045.272,8192
17045.275,1166
17048.581,8192
17048.590,8192
17048.592,8192
17048.594,8192
17048.597,8192
17048.600,286
17051.204,8192
17051.209,8192
17051.212,8192
17051.219,2837
17054.777,8192
17054.786,8192
17054.789,8192
17054.793,8192
17054.795,1975
17057.669,8192
17057.674,8192
17057.676,1374
17060.145,8192
17060.151,8192
17060.153,8192
17060.157,8192
17060.158,8192
17060.161,2976
17062.796,8192
17062.802,8192
17062.806,8192
17062.808,8192
17062.812,2195
17065.715,8192
17065.720,8192
17065.724,8192
17065.726,8192
17065.729,4926
17068.467,8192
17068.471,8192
17068.474,8192
17068.477,8192
17068.480,4814
17071.588,8192
17071.593,8192
17071.596,2920
17074.379,8192
17074.390,8192
17074.393,8192
17074.397,1141
17077.249,8192
17077.254,8192
17077.257,8192
17077.260,8192
17077.262,8192
17077.264,191
17079.901,8192
17079.906,8192
17079.909,8192
17079.911,8192
17079.913,8192
17079.916,386
17082.678,8192
17082.685,8192
17082.691,8192
17082.693,1333
17085.217,8192
17085.223,8192
17085.226,8192
17085.228,5639
17088.082,8192
17088.087,8192
17088.089,8192
17088.091,8192
17088.093,8192
17088.095,946
17090.583,8192
17090.593,8192
17090.596,3478
17092.815,8192
17092.819,8192
17092.825,4876
17095.241,8192
17095.249,8192
17095.253,8192
17095.256,8192
17095.257,8192
17095.260,2312
17098.166,8192
17098.171,8192
17098.176,8192
17098.332,8192
17098.336,2733
17100.876,8192
17100.880,8192
17100.886,8192
17100.890,8192
17100.894,3593
17103.589,8192
17103.601,8192
17103.605,3126
44417.324,8192
44417.335,8192
44417.338,8192
44417.342,42
