ms_since_start,bytes
3.039,8192
3.045,8192
3.052,1947
5.801,8192
5.808,8192
5.811,8192
5.813,8192
5.816,3712
8.298,8192
8.302,8192
8.304,4579
11.207,8192
11.212,8192
11.215,8192
11.218,8192
11.221,2129
13.870,8192
13.874,8192
13.877,8192
13.879,8192
13.881,4094
16.307,8192
16.312,8192
16.317,8192
16.319,8192
16.322,5294
18.492,8192
18.495,8192
18.499,8192
18.502,8192
18.504,2224
20.701,8192
20.704,8192
20.709,1166
23.359,8192
23.362,8192
23.365,8192
23.367,8192
23.369,8192
23.371,286
25.495,8192
25.498,8192
25.500,8192
25.502,2837
27.783,8192
27.786,8192
27.790,8192
27.793,8192
27.795,1975
30.071,8192
30.074,8192
30.076,1374
31.903,8192
31.913,8192
31.915,8192
31.918,8192
31.919,8192
31.921,2976
33.988,8192
33.991,8192
33.994,8192
33.996,8192
33.998,2195
42.982,8192
42.986,8192
42.994,8192
42.997,8192
43.000,4926
45.578,8192
45.582,8192
45.584,8192
45.586,8192
45.588,4814
47.652,8192
47.655,8192
47.659,2920
49.680,8192
49.683,8192
49.686,8192
49.688,1141
52.651,8192
52.655,8192
52.658,8192
52.664,8192
52.666,8192
52.668,191
55.885,8192
55.891,8192
55.893,8192
55.895,8192
55.896,8192
55.899,386
62.373,8192
62.378,8192
62.387,8192
62.389,1333
70.455,8192
70.467,8192
70.470,8192
70.473,5639
72.644,8192
72.647,8192
72.649,8192
72.651,8192
72.653,8192
72.657,946
74.677,8192
74.680,8192
74.688,3478
76.465,8192
76.468,8192
76.476,4876
78.521,8192
78.524,8192
78.528,8192
78.533,8192
78.534,8192
78.537,2312
80.756,8192
80.760,8192
80.764,8192
80.766,8192
80.768,2733
83.015,8192
83.018,8192
83.020,8192
83.022,8192
83.024,3593
85.479,8192
85.487,8192
85.490,3126
25765.744,8192
25765.753,8192
25765.755,8192
25765.759,42
