ms_since_start,bytes
11.387,8192
11.397,8192
11.409,1947
15.030,8192
15.036,8192
15.041,8192
15.043,8192
15.047,3712
18.500,8192
18.508,8192
18.510,4579
21.373,8192
21.383,8192
21.387,8192
21.408,8192
21.411,2129
24.073,8192
24.078,8192
24.081,8192
24.083,8192
24.085,4094
26.427,8192
26.431,8192
26.433,8192
26.435,8192
26.438,5294
29.015,8192
29.023,8192
29.027,8192
29.029,8192
29.032,2224
31.650,8192
31.654,8192
31.670,1166
35.266,8192
35.277,8192
35.280,8192
35.284,8192
35.286,8192
35.289,286
37.739,8192
37.744,8192
37.746,8192
37.748,2837
40.436,8192
40.440,8192
40.443,8192
40.445,8192
40.447,1975
42.683,8192
42.691,8192
42.694,1374
45.195,8192
45.202,8192
45.204,8192
45.207,8192
45.209,8192
45.214,2976
47.820,8192
47.832,8192
47.835,8192
47.837,8192
47.839,2195
50.096,8192
50.100,8192
50.107,8192
50.110,8192
50.112,4926
52.536,8192
52.539,8192
52.543,8192
52.545,8192
52.547,4814
54.726,8192
54.730,8192
54.732,2920
56.905,8192
56.911,8192
56.913,8192
56.915,1141
59.291,8192
59.295,8192
59.297,8192
59.378,8192
59.382,8192
59.385,191
63.787,8192
63.799,8192
63.801,8192
63.805,8192
63.806,8192
63.814,386
65.951,8192
65.958,8192
65.964,8192
65.966,1333
67.879,8192
67.885,8192
67.887,8192
67.895,5639
70.198,8192
70.203,8192
70.206,8192
70.209,8192
70.210,8192
70.216,946
72.482,8192
72.490,8192
72.494,3478
74.360,8192
74.363,8192
74.368,4876
76.351,8192
76.356,8192
76.358,8192
76.361,8192
76.363,8192
76.366,2312
79.235,8192
79.240,8192
79.244,8192
79.249,8192
79.253,2733
81.666,8192
81.669,8192
81.674,8192
81.676,8192
81.680,3593
84.157,8192
84.164,8192
84.167,3126
27432.536,8192
27432.553,8192
27432.556,8192
27432.559,42
